,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
0,1.0,77494.0,TX,Katy,345591.0221,349808.9191,353947.199,375708.6232,445189.9728,478744.2518,
1,3.0,77449.0,TX,Katy,188852.5626,198931.7974,206652.8303,221287.0161,254534.6192,278208.1088,
2,5.0,77084.0,TX,Houston,186126.3924,194794.9785,204846.6504,220023.1829,249716.5954,270955.9814,
3,6.0,79936.0,TX,El Paso,136474.3207,141090.2764,145266.433,158423.2823,176739.4496,197108.3895,
4,8.0,78660.0,TX,Pflugerville,287834.4216,296259.4275,306956.6077,346024.3608,423870.1287,427383.0778,
5,11.0,77433.0,TX,Cypress,288932.3321,298784.298,308955.9675,331866.4207,393175.0347,425395.9019,
6,25.0,77573.0,TX,League City,270200.0574,280074.233,289850.1106,307865.4569,353343.0415,372898.8216,
7,30.0,75052.0,TX,Grand Prairie,224716.2013,240000.9685,251475.64,273129.4377,309415.4306,331214.3548,
8,42.0,78245.0,TX,San Antonio,182182.3749,191383.9614,201286.366,218219.9402,254182.1815,272908.6829,
9,46.0,78521.0,TX,Brownsville,83501.13945,82744.32604,88362.30699,103323.4326,120732.2213,137452.6262,
10,51.0,77479.0,TX,Sugar Land,400775.9369,401752.9231,401323.9221,415875.8018,474195.1005,507540.0943,
11,55.0,78542.0,TX,Edinburg,104511.4455,110411.1553,115637.5268,134458.1286,151755.8003,175509.6301,
12,56.0,78613.0,TX,Cedar Park,358878.1702,369628.6941,385451.9777,433052.3321,514015.4134,517222.8604,
13,62.0,77429.0,TX,Cypress,257470.2515,268241.4701,276916.0586,296412.9822,344481.0558,374650.5994,
14,67.0,79938.0,TX,El Paso,158462.8899,161942.3094,165525.6909,179119.0771,210454.2056,233640.2242,
15,75.0,77584.0,TX,Pearland,273650.1807,281020.8457,287614.3175,300665.1991,349466.4834,374970.7301,
16,78.0,78130.0,TX,New Braunfels,226665.9816,234290.7649,242156.698,264349.1674,322496.2207,342027.9595,
17,82.0,75217.0,TX,Dallas,109055.7201,127310.0801,135767.8198,152414.5668,170372.9086,203383.8082,
18,88.0,77379.0,TX,Spring,256688.8207,265508.0216,274257.85,291674.5643,335399.5981,364587.7928,
19,96.0,79928.0,TX,Horizon City,152377.6194,158394.088,162275.9949,174639.3948,207406.976,230886.4764,
20,102.0,78666.0,TX,San Marcos,214844.2755,222627.4043,233687.3798,257785.0059,328598.3202,345895.3381,
21,117.0,78577.0,TX,Pharr,90278.73512,94464.10315,100964.8533,116193.0396,131799.4457,151794.2925,
22,118.0,78641.0,TX,Leander,315257.5849,322000.2021,331291.8342,371307.3024,475346.9836,482101.8406,
23,120.0,77459.0,TX,Missouri City,287061.8897,290271.3,293135.1292,308134.3772,360420.4746,388681.8444,
24,126.0,75035.0,TX,Frisco,490554.8754,487766.8547,487806.4299,525334.8817,627119.8729,655268.5837,
25,137.0,76244.0,TX,Fort Worth,290206.1694,296956.3226,305140.4406,328231.6816,374149.7829,394785.7386,
26,138.0,77083.0,TX,Houston,179283.2388,189666.7654,199103.8353,213086.173,241602.803,265428.3966,
27,141.0,76063.0,TX,Mansfield,291108.6788,304680.6771,317908.7234,345732.641,398612.3989,432302.8982,
28,149.0,75002.0,TX,Allen,351187.9505,358455.1836,359333.058,387854.2684,455386.9106,483899.8671,
29,150.0,79912.0,TX,El Paso,189753.5033,193634.4917,199785.3505,217426.0773,248903.2545,273769.7976,
30,156.0,78572.0,TX,Mission,107110.3211,111682.0769,118322.2068,132965.6966,151259.0428,173771.7312,
31,158.0,75211.0,TX,Cockrell Hill,137196.8832,156337.1251,165462.4659,182925.4418,203257.7092,232334.4622,
32,169.0,76028.0,TX,Burleson,219755.5716,231635.7286,243142.3202,263919.648,313837.3373,343576.2221,
33,173.0,75228.0,TX,Dallas,183319.4445,202675.6683,212560.1295,234558.7458,261323.0185,285718.9906,
34,178.0,76179.0,TX,Fort Worth,222220.5008,237024.8812,246189.9506,266602.1077,315820.1259,337065.0196,
35,179.0,77407.0,TX,Richmond,268435.8816,274638.9426,277489.1455,297987.2546,357408.2446,383762.8579,
36,193.0,77095.0,TX,Houston,236834.0884,244518.3672,252513.3818,270298.552,301724.5425,326593.65,
37,197.0,77845.0,TX,College Station,275365.1372,278956.4569,276086.7555,291543.4725,315773.591,338088.6187,
38,231.0,78254.0,TX,San Antonio,220970.3434,229095.1374,238688.5374,256891.2621,303751.3873,323071.1013,
39,233.0,78046.0,TX,Laredo,129165.6039,136331.6004,141820.5705,151963.8127,169720.0305,174442.4757,
40,258.0,75067.0,TX,Lewisville,276923.3999,286821.3092,293050.5386,311957.4268,349136.5454,369701.4601,
41,265.0,77036.0,TX,Houston,103607.332,113201.0382,120006.3213,130459.8216,154724.8607,176079.5947,
42,267.0,78045.0,TX,Laredo,198426.2586,205289.3373,216569.2557,230405.0744,250630.1675,258907.1697,
43,276.0,75068.0,TX,Little Elm,309013.593,316631.9885,317050.0953,337680.8029,406855.6034,429324.4562,
44,290.0,75243.0,TX,Dallas,182984.1341,197973.2889,201577.9737,219740.4309,263249.9911,272490.9726,
45,294.0,75098.0,TX,Wylie,303734.1147,312494.6942,317264.3911,343080.2173,410334.1014,438335.7057,
46,303.0,77346.0,TX,Atascocita,226033.6227,234816.8498,241521.7245,254594.9906,293593.3167,318061.3219,
47,333.0,75043.0,TX,Garland,206596.7996,217901.1872,228066.3009,245505.9168,278718.9737,298991.8966,
48,341.0,77521.0,TX,Baytown,172457.1476,183090.7441,192128.4242,204993.949,233789.2277,254012.6276,
49,350.0,75040.0,TX,Garland,197023.2333,209196.434,217988.6809,231661.7626,260999.4362,292353.7537,
50,351.0,77072.0,TX,Houston,125859.7105,138396.4719,147230.4218,158590.7584,180739.5111,210861.658,
51,361.0,78249.0,TX,San Antonio,219166.6639,228403.1409,237028.7042,257758.9394,289403.4107,317729.975,
52,367.0,77373.0,TX,Spring,169419.3,178149.0429,186285.4728,199646.87,227747.9142,249621.6478,
53,368.0,77386.0,TX,Spring,248252.971,254837.5883,262494.2994,283488.9327,334696.3668,361003.4956,
54,375.0,75150.0,TX,Mesquite,181181.2133,195183.3521,205275.6106,219661.9528,243677.9855,271290.0036,
55,379.0,78574.0,TX,La Homa,92818.01194,102214.5288,111627.6864,127860.9373,144606.0988,163627.0608,
56,391.0,75056.0,TX,The Colony,338106.6392,348087.7291,353084.8522,381297.9955,441110.0921,475020.9309,
57,398.0,77396.0,TX,Humble,174192.2005,185328.1825,192348.0284,205467.2112,240017.094,263958.9708,
58,407.0,78640.0,TX,Kyle,237157.8673,244046.7535,251430.1379,275889.5926,345644.2287,355610.5537,
59,411.0,77375.0,TX,Tomball,229329.8895,239985.6771,247702.5393,264813.2003,314174.9909,340199.157,
60,430.0,78745.0,TX,Austin,307064.5415,322987.9052,347198.5151,401850.4191,481875.0241,507537.6512,
61,436.0,77077.0,TX,Houston,306103.7753,305199.6679,304482.3816,319780.3715,349602.7848,376251.3922,
62,439.0,78253.0,TX,San Antonio,252020.5383,260701.172,269403.6218,288493.0835,340084.5698,359370.7214,
63,446.0,75227.0,TX,Dallas,141286.8993,156575.6318,164592.233,181364.6189,202259.9089,232933.6936,
64,450.0,78520.0,TX,Brownsville,96848.43642,97577.58354,103528.7746,119739.1766,145154.4232,159535.4229,
65,453.0,75071.0,TX,McKinney,364484.8058,366715.3755,370862.0816,402890.2891,497227.5285,530472.9959,
66,461.0,78501.0,TX,McAllen,110114.9911,114654.326,121473.695,137655.0987,153391.1846,181108.31,
67,464.0,77406.0,TX,Richmond,289029.3583,293337.0159,295977.407,315808.0335,382741.4322,413167.9962,
68,468.0,78504.0,TX,McAllen,162324.3268,166330.1162,173919.0636,188829.3559,215901.2575,243587.5027,
69,478.0,78251.0,TX,San Antonio,192640.5015,201205.9206,210974.1372,228433.6809,257423.9571,279192.4108,
70,482.0,79924.0,TX,El Paso,108062.0533,109545.6158,115876.6394,128031.8854,145982.0007,164967.9097,
71,490.0,78664.0,TX,Round Rock,248116.5466,258468.5515,269654.8305,303711.5112,380985.4786,385522.7771,
72,497.0,78681.0,TX,Round Rock,351993.217,363840.564,378898.9894,427355.3032,511176.4519,526747.2819,
73,504.0,76137.0,TX,Fort Worth,239747.2471,251564.2341,261261.7906,280969.2935,313454.3231,332706.8017,
74,513.0,77015.0,TX,Houston,125083.511,135722.0855,146380.0028,159514.7408,178797.3551,205617.6504,
75,519.0,77070.0,TX,Houston,202893.6195,212838.5743,220825.4382,237211.1644,269111.3048,295791.8648,
76,532.0,75115.0,TX,Desoto,219320.8533,234857.0614,245655.1062,267242.0864,307338.455,331382.8909,
77,535.0,78526.0,TX,Brownsville,129288.9312,132207.5894,135404.2542,151030.0868,180505.513,202827.5604,
78,540.0,78753.0,TX,Austin,254096.6173,268681.2302,287345.1805,332915.3165,388777.6163,401980.2475,
79,542.0,78228.0,TX,San Antonio,126338.7836,136182.8528,144711.1155,159844.6901,174022.0696,189924.5236,
80,542.0,78250.0,TX,San Antonio,182589.9611,190475.1165,199214.4801,214742.6352,235055.8554,258672.0641,
81,544.0,76010.0,TX,Arlington,149973.9966,166079.4231,179751.8554,199643.6461,216185.8879,237600.542,
82,555.0,78240.0,TX,San Antonio,197676.7765,204238.1992,212533.3752,231415.1198,255347.7988,277964.1361,
83,559.0,75149.0,TX,Mesquite,163847.9666,176712.0374,186133.9517,199828.3598,227498.9049,252553.0104,
84,569.0,77082.0,TX,Houston,178083.3214,189639.9617,194129.3062,207533.9886,235165.364,257527.2647,
85,585.0,75070.0,TX,McKinney,391642.3319,390673.6069,390773.3087,420851.3303,497925.6143,514481.8376,
86,603.0,77469.0,TX,Rosenberg,230343.8349,238998.7765,243933.5784,260721.0312,310143.719,333502.2701,
87,630.0,77044.0,TX,Houston,198076.5948,205635.7482,211633.7212,224956.2674,261895.6664,286894.2572,
88,639.0,75061.0,TX,Irving,182427.743,199265.7183,213162.6437,232637.4232,260215.26,290894.0127,
89,640.0,75007.0,TX,Carrollton,314599.1717,323193.817,329527.0724,348927.421,385190.0555,407723.4417,
90,646.0,78550.0,TX,Harlingen,110040.1815,107887.1063,110549.5544,124091.0983,146210.8421,156191.6887,
91,659.0,77840.0,TX,College Station,206714.0636,214389.8191,204314.3349,215306.6613,246749.8783,269194.1388,
92,680.0,77581.0,TX,Pearland,259243.9029,271437.0025,281325.2741,291632.9521,333259.404,358996.928,
93,684.0,78665.0,TX,Round Rock,320121.7401,324981.7,334207.308,372483.4894,458369.84,466561.1972,
94,706.0,78852.0,TX,Eagle Pass,141878.7986,137625.484,137977.9613,149307.5517,167202.6925,171325.1075,
95,709.0,77088.0,TX,Houston,130978.1863,142904.7726,151273.1837,165902.0192,189775.3378,218343.0042,
96,711.0,75126.0,TX,Forney,238686.42,246898.8211,251415.6805,268218.9553,331251.7489,352421.3691,
97,714.0,75025.0,TX,Plano,460731.2508,455509.3947,452469.5748,478946.2338,541937.8429,567060.616,
98,722.0,77546.0,TX,Friendswood,258968.6017,267708.9784,279482.2684,302465.6508,351094.0462,377480.2616,
99,732.0,75216.0,TX,Dallas,78144.11073,99855.9496,112179.8935,131652.3209,148031.0159,175913.9799,
100,735.0,78586.0,TX,San Benito,83831.19404,82963.68951,82235.22026,94123.51142,109935.329,115098.7369,
101,748.0,75080.0,TX,Richardson,319130.2159,337092.3549,343830.0587,371732.8575,410677.8736,441138.298,
102,755.0,76549.0,TX,Killeen,136409.0934,144489.8192,153355.8831,171905.0666,208236.6247,233325.3404,
103,762.0,77498.0,TX,Sugar Land,231378.9916,239425.3738,247008.4059,261554.3721,296327.9515,323108.9676,
104,769.0,77388.0,TX,Spring,213321.3476,221062.6769,229710.3627,245486.1819,278413.401,300876.5117,
105,771.0,77089.0,TX,Houston,185957.6613,199335.5437,208164.1198,223021.9848,247258.0003,265388.5891,
106,840.0,76133.0,TX,Fort Worth,175918.9809,188713.1909,199687.6147,220593.0125,247232.5584,273946.5517,
